Author,Title,Abstract,Keywords,Summary
Kanika Tehlan,Genetic Algorithm-Based Approach for Teaching Programming,"Pair programming is an approach where two programmers work to solve one programming problem sitting shoulder to shoulder on a computer. Several studies indicating numerous benefits of using pair programming as a teaching strategy exist. However, only a few of them take into consideration the mechanism followed for pair formation. With an aim to study the impact of pair programming on undergraduate students, we try to make the pairs compatible with a genetic algorithm‐based approach. Using a genetic algorithm, the system ensures that every pair in the class gets a particular combination of skills and personality traits. We also developed a desktop application to assign programming exercises to students dynamically. To assess the efficacy of pair programming in introductory programming course, a formal pair programming experiment was run at Netaji Subhas University of Technology. The pair programming experiment involved a total 171 undergraduate students from a computer engineering course. At the end of the program, we assessed the programming abilities of every student. We also analyzed the impact of a genetic algorithm‐based pairing mechanism. On the basis of assessments, it is observed that pair programming is a successful pedagogical tool for facilitating active learning of introductory programming courses. Responses to survey garnered from undergraduate students hint that the genetic algorithm approach leads to compatible pairs.","introductory programming, pair programming, genetic algorithm, Pair Formation, collaborative learning, Programming Exercises","This paper studies the usefulness of pair programming as a method to teach an introductory programming course. The contributions of the study are the following: Keeping in mind the role of personality traits in determining the success of pair programming, we use a blend of skills and personality‐based pairing mechanism. A five‐factor model comprising of skill levels of students, personality type, and attitude toward programming is considered for pairing students. To minimize conflicts and automate the pair formation, we propose a novel genetic algorithm‐based approach. The experiment was conducted for one semester covering the entire course syllabus to analyze the effects of pair programming better."
Kapil Ahuja,Cube Sampled K-Prototype Algorithm for Clustering ||| Preconditioned Iterative Solves in Model Reduction ||| Reusing Preconditioners in Projection Based Model Order Reduction Algorithms,"This paper proposes a novel algorithm called Cube Sampled K-Prototype for clustering mixed data types. The algorithm integrates the K-Means and K-Modes algorithms and uses cube sampling to reduce the computational complexity. The proposed algorithm is compared with other clustering algorithms and shows better performance in terms of clustering accuracy. ||| This paper proposes the use of preconditioned iterative methods for solving linear systems in model reduction. The authors discuss the importance of preconditioning in improving the performance of iterative methods and present a new preconditioner, the Sparse Approximate Inverse (SPAI) preconditioner. They also discuss the use of SPAI preconditioner in the Adaptive Iterative Rational Global Arnoldi Algorithm (AIRGA) and present results showing the effectiveness of the proposed method. ||| Dynamical systems are pervasive in almost all engineering and scientific applications. Simulating such systems is computationally very intensive. Hence, Model Order Reduction (MOR) is used to reduce them to a lower dimension. Most of the MOR algorithms require solving large sparse sequences of linear systems. Since using direct methods for solving such systems does not scale well in time with respect to the increase in the input dimension, efficient preconditioned iterative methods are commonly used. In one of our previous works, we have shown substantial improvements by reusing preconditioners for the parametric MOR (Singh et al. 2019). Here, we had proposed techniques for both, the non-parametric and the parametric cases, but had applied them only to the latter. We have three main contributions here. First, we demonstrate that preconditioners can be reused more effectively in the non-parametric case as compared to the parametric one. Second, we show that reusing preconditioners is an art via detailed algorithmic implementations in multiple MOR algorithms. Third and final, we demonstrate that reusing preconditioners for reducing a real-life industrial problem (of size 1.2 million), leads to relative savings of up to 64% in the total computation time (in absolute terms a saving of 5 days).","Mixed Data Types, Sparse Approximate Inverse (SPAI) preconditioner, Sampling, Clustering, reusing preconditioners, Adaptive Iterative Rational Global Arnoldi Algorithm (AIRGA), Cube Sampling, Global Arnoldi Algorithm, Model reduction, preconditioners, K-Prototype, K-Prototype Clustering, Model order reduction, moment matching, iterative methods, Iterative Methods, Principal Component Analysis, Model Order Reduction, Clustering Accuracy, Preconditioned iterative methods, Preconditioner and Stability Analysis, Moment Matching, Linear systems","This paper proposes a probabilistic sampling technique called cube sampling along with K-Prototype clustering. Cube sampling is used because of its accurate sample selection. The novelty of this work is in obtaining the crucial inclusion probabilities for cube sampling using Principal Component Analysis (PCA). ||| This paper focuses on efficiently solving linear systems arising in the model reduction process using iterative methods and preconditioners. The authors propose the use of relevant iterative algorithms and the Sparse Approximate Inverse (SPAI) preconditioner, and provide a technique to cheaply update the SPAI preconditioner in each iteration step. ||| This paper demonstrates the reuse of preconditioners in projection-based model order reduction algorithms for non-parametric dynamical systems. The authors have three main contributions: (i) they demonstrate that preconditioners can be reused more effectively in the non-parametric case, (ii) they show that reusing preconditioners is an art via detailed algorithmic implementations in multiple MOR algorithms, and (iii) they demonstrate that reusing preconditioners leads to relative savings of up to 64% in the total computation time for a real-life industrial problem."
Karamitros,3D FE MODELLING OF BURIED CONTINUOUS PIPELINE EXPOSED TO FAULT MOTION WITH MATERIAL NONLINEARITY AND LARGE DEFORMATION,"Pipeline generally extends over long distances traversing through wide variety of different soils, geological conditions and regions with different seismicity. Majority of the past works in the area of pipeline subjected to fault motion is restricted in several ways. There were many analytical models developed in the past for pipeline fault crossing, however, they are of limited usage, for example analytical model developed for pipeline fault crossing can be useful for strike slip fault crossing only. Likewise incorporating the large geometric changes in analytical study is a tricky task; however pipeline subjected to the fault motion itself is a phenomenon of large geometric changes. Especially when pipeline subjected to compression, where in addition to material deformation it also undergoes general as well as local buckling with bending, contradictorily past work mostly assumed that pipeline is under tension. With day by day increasing capacity of computation and advancement in numerical modeling, one can find more facts for pipeline subjected fault motions including cases of pipe under compression as well. In this paper, past work is reviewed for pipeline subjected to large fault motion. A three dimensional FE based numerical model is suggested to carry out pipeline performance of buried pipeline subjected to fault motion. A proposed model includes material nonlinearity, as well as effect of the large geometric changes. For this purpose, three dimensional FE program is developed in MATLAB. Displacement controlled Arc-length technique is implemented to solve the nonlinear behavior. To reduce the computation time of analysis here parallelization tool kit of MATLAB is utilized.","pipeline performance, Displacement controlled Arc-length technique, material nonlinearity, finite element method, Fault motion, Buried continuous pipeline, Nonlinear-large deformation FEM, large deformation","This paper presents a three-dimensional finite element model for buried continuous pipelines exposed to fault motion with material nonlinearity and large deformation. The model is developed using isoparametric brick elements and is validated by comparing the load-deflection curve with the results obtained from the commercially available finite element package ANSYS-12. The performance of the pipeline is evaluated for various fault offset, pipeline-fault crossing angle, wall thickness to diameter ratio, and depth of the buried pipeline."
Karen Price,First-­in-­Human Study of Bamlanivimab in a Randomized Trial of Hospitalized Patients With COVID-­19,"This first-in-human study in hospitalized patients with COVID-19 was supported by studies assessing in vitro viral neutralization combined with a single-dose non-human primate PK study. The nonclinical safety package to support subsequent studies included tissue cross-reactivity studies on human, rat, and monkey tissues and an in vivo toxicology study.  A complete physical examination was conducted at the screening visit, and one of three bamlanivimab doses or placebo was administered i.v. at the baseline visit (D1) with infusion rates as follows: bamlanivimab 700 mg (50 mL) administered 100 mL/hr for 30 minutes; 2,800 mg (75 mL) administered 100 mL/hr for 45 minutes; and 7,000 mg administered 100 mL/hr for 60 minutes. Placebo infusion was 0.9% normal saline, administered at the same volume and rate as the corresponding bamlanivimab dose cohort. Safety and tolerability were reviewed for sentinel participants up to 24 hours after dosing, at which point the investigators and sponsor team determined whether safety and tolerability were acceptable to continue with dosing subsequent participants. The decision to dose the next cohort was made when all participants from the previous cohort had been dosed and safety data assessed for at least 4 days after the i.v. infusion by the investigators and sponsor team in consultation with an independent safety assessment committee. Blood samples were obtained for assessment of exploratory biomarkers, serology, clinical laboratory assessments, and PD on days 1, 3, 7, 11, 15, 22, and 29, and every 7 days until discharge or day 60, if still an inpatient. Samples for the virology assay were collected using nasopharyngeal (preferred) or mid-turbinate methods. Blood samples obtained for PK analyses were assessed on days 1 (pre-infusion and just before end of infusion), 4, 15, and 29, and follow-up visits up to day 60. Symptom-related physical examinations and assessments of clinical symptoms were performed on days 1, 2, 3, 4, 7, 11, 15, 22, and 29, and the day of discharge from the hospital, with additional follow-up examinations every 7 days thereafter until day 60 if the patient was not discharged from the hospital by day 29. Participants’ clinical status and concurrent procedures of special interest were recorded, including limitation on activities due to COVID-19 and any requirements for the following procedures of special interest, such as ongoing hospital medical care, supplemental oxygen, noninvasive ventilation or a high flow oxygen device, mechanical ventilation, extracorporeal membrane oxygenation, additional organ support, or consciousness status using alert, consciousness, verbal, pain, unresponsive scale. Hospitalization events were recorded, including dates of hospital admission and discharge, admission to the intensive care unit (ICU), discharge from the ICU, and discharge location including to an extended care facility or home. Outcomes The primary objective was to assess safety and tolerability, including adverse events (AEs), serious adverse events (SAEs), and discontinuations due to AEs. Other objectives included PKs (e.g., mean concentration at day 29); PD viral load, area under the response time curve (AUC, from day 1 to day 29), and change from baseline time course; total symptom score; time to symptom resolution; duration of hospitalization; National Institute of Allergy and Infectious Diseases (NIAID), World Health Organization (WHO) scales, and National Early Warning Score (NEWS2); and analysis of viral resistance. Any hypothesis tests were conducted for treatment comparisons without adjustment for multiplicity except for the evaluation of treatment effect on endogenous antibody titers. Success for the trial was claimed using a Bayesian criterion if any of the 3 bamlanivimab doses had at least 60% probability to reduce at least 30% mean AUC (28-day viral load) over placebo.",,"This first-in-human study evaluated the safety, tolerability, pharmacokinetics, clinical course, and viral dynamics of bamlanivimab, a fully human neutralizing monoclonal antibody targeting SARS-CoV-2, in hospitalized patients with moderate to severe COVID-19.  The study found bamlanivimab to be safe and well-tolerated, with no serious adverse events or deaths reported.  Further research is needed to determine the efficacy of bamlanivimab in treating COVID-19."
Kashif Naseer Qureshi,A Dynamic Congestion Control Scheme for safety applications in vehicular ad hoc networks,"In recent years, various types of applications have emerged from Vehicular Ad hoc Networks (VANETs) for safety, infotainment, rescue and security purposes. Safety applications have their own strict communication requirements, and they require reliable and timely data communication within networks. Due to a variety of network applications, safety applications have been negatively impacted by communication channel congestion issues. Channel congestion leads to packet loss, delay and unreliability issues, and has a serious impact on vehicular traffic, including road accidents, road jams, and wrong traffic decisions. In addressing these issues, this paper's authors have proposed a Dynamic Congestion Control Scheme (DCCS) as a means of reliable and timely data delivery, in safety applications. The proposed scheme is designed for communication channels, as a means of broadcasting safety messages, and to ensure the reliable and timely delivery of messages to all neighbours in a network. The DCCS scheme is designed for inter-vehicle communication, without fixed infrastructure. Comprehensive simulation is conducted, in order to evaluate the performance of a proposed scheme, and to compare it with other state of the art schemes.","Congestion Control, Mobility, Transmit Power Control, MAC Blocking, Safety, Measurement-Based Detection, Urban, VANETs, Congestion, Communication, Vehicular, Control, Broadcasting, Queue Freezing",This paper proposes a Dynamic Congestion Control Scheme (DCCS) for safety applications in Vehicular Ad hoc Networks (VANETs). The scheme detects congestion and controls it by exploiting existing network resources for road traffic safety and cum security. The main objectives of this research are to determine whether a congestion detection scheme will reduce congestion by using realistic weighting factors and whether a congestion control scheme can control congestion through message originated-based queue freezing.
Katarina Lundqvist,ROS deficiency enhanced mannan-induced PsA,"In and joint inflammation using B10Q.Ncf1m1j/m1j mice that have a mutation in the Ncf1 gene (m1j) (the Ncf1 protein also denoted p47phox), and hence reduced ROS production (oxidative burst) (18). As shown in Fig. 1D, Ncf1 mutated mice developed severe joint inflammation within 2 d after mannan injection, which reached the mean maximal disease severity (30 ± 6 points) within 4 d. The frequency of skin lesions was 100%, with more severe cases in B10Q.Ncf1m1j/m1j mice (Fig. 1E), whereas B10.Q mice had a significantly milder disease course. Multiple Exposures to Mannan Induced a Relapsing Disease. Next, we examined the effect of multiple mannan injections in B10Q and B10Q.Ncf1m1j/m1j mice. We boosted mice twice with mannan on days 7 and 14 after disease initiation. Repetitive injections of mannan reproduced the arthritis phenotype, which reached the maximum severity level on days 9 and 17, similar to the first injection (Fig. 1F). A more severe disease course was observed in B10Q.Ncf1m1j/m1j mice than in B10Q mice (P < 0.05 and P < 0.01, respectively). Interestingly, Ps skin scaling returned only after the second mannan injection (on day 16), but the skin peeled off even more quickly than the first time (Fig. 1G). Moreover, from day 11 onward, B10Q.Ncf1m1j/m1j mice started to develop pruritus on the body, predominantly on the back and above the eye (Fig. S1E). Pruritus was only evident in B10Q.Ncf1m1j/m1j mice, but flaky skin on the tail and alopecia all over the leg was observed in both of the mouse strains. We also observed genetic heterogeneity in disease susceptibility (Fig. Fig. 1. ROS deficiency enhanced mannan-induced PsA. The arthritic joint phenotype and Ps-like skin lesions in the front (A) and hind (B) paws of B10Q.Ncf1m1j/m1j mice are shown. (C) Ps-like skin scaling in diseased B10Q.Ncf1m1j/m1j mouse ear compared with naive mouse ear. Mean arthritis (D) and Ps lesion (E) severity in B10Q (n = 5) and B10Q.Ncf1m1j/m1j (n = 5) mice after a single i.p. mannan injection. Mean arthritis (F) and Ps lesion (G) severity in B10Q (n = 5) and B10Q.Ncf1m1j/m1j (n = 5) mice after repetitive mannan injections (days 7 and 14). (H) Mannan-induced mean maximum arthritis scores ± SEM in different mouse strains: B10Q (n = 8), B10Q.Ncf1m1j/m1j (n = 9), B10RIII (n = 10), B10RIII.Ncf1m1j/m1j (n = 9), B10P (n = 3), B10P.Ncf1m1j/m1j (n = 9), BALB/cByJ/Q (n = 10), BALB/cByJ/Q.Ncf1m1j/m1j (n = 8), BALB/cByJ (n = 5), BALB/cByJ.Ncf1m1j/m1j (n = 7), C57BL/6NJ (n = 8), and C57BL/6NJ.Ncf1m1j/m1j (n = 7). Significance was calculated by comparing the maximal disease severity of B10Q and B10Q.Ncf1m1j/m1j mice with all of the other strains in their respective groups. *P < 0.05; **P < 0.01; ***P < 0.001. E3670 | www.pnas.org/cgi/doi/10.1073/pnas.1405798111 Khmaladze et al. Downloaded from https://www.pnas.org by 122.184.65.228 on February 22, 2023 from IP address 122.184.65.228.","autoimmune disease, Ncf1, animal model","This study identifies a new mechanism for psoriasis (Ps) and psoriasis arthritis (PsA) development in mice. A single injection of mannan, a component of baker's yeast, induced Ps and PsA-like symptoms. This effect was exacerbated in mice lacking reactive oxygen species (ROS), but improved when ROS production was restored in macrophages.  Blocking IL-17A, a cytokine produced by gamma delta T cells, completely prevented disease. The study suggests that mannan activates macrophages, leading to TNF-α secretion and stimulation of IL-17A production by gamma delta T cells. This, in turn, drives neutrophil infiltration and inflammation, mimicking Ps and PsA. This new mouse model could be valuable for testing new therapies for Ps and PsA."
Kathleen Maksimowicz-McKinnon,BELIMUMAB IN PATIENTS OF BLACK AFRICAN ANCESTRY,"Study design. SELENA–SLEDAI = Safety of Estrogens in Lupus Erythematosus National Assessment–Systemic Lupus Erythemato-sus Disease Activity Index; IV = intravenous.

Randomization and treatment. Using an interactive voice/web response system, patients receiving standard therapy were randomized 2:1 to receive either belimumab 10 mg/kg IV or placebo, which was administered on days 0, 14, and 28 and every 28 days thereafter up to week 48, with a final evaluation at week 52. Randomization was stratified by screening SELENA–SLEDAI score (≤9 versus ≥10), region (US/Canada versus rest of world), and complement level (≥1 test finding showing low C3/C4 [less than the lower limit of normal] versus C3/C4 other [the lower limit of normal or above]). Detailed randomization data are provided in Supplementary Material (http://onlinelibrary.wiley.com/doi/10.1002/art.41900/abstract).

Patients who successfully completed the initial 52-week double-blind phase could enter an optional 6-month open-label extension phase, during which they received belimumab 10 mg/kg IV every 28 days plus standard therapy, irrespective of their previous study assignment. The first dose was given at the week 52 (day 364) visit of the double-blind period (day 1 of the open-label extension phase). Patients who completed the 52-week double-blind phase, but did not enter the 6-month open-label extension phase, were required to return for an additional follow-up visit 8 weeks after their last dose. Patients who withdrew early were required to return for an exit visit 4 weeks after their last dose and a follow-up visit 8 weeks after their last dose.

The original protocol plan was to randomize 816 patients, providing ≥90% power to detect ≥12% absolute improvement in the SRI response rate in the belimumab group compared with the placebo group at a 5% significance level. Due to enrollment challenges, a revised sample size was calculated to include 501 patients (≥334 patients in the belimumab group and ≥167 patients in the placebo group). This sample size provided ≥90% power to detect a minimum 15.55% absolute improvement in SRI–SLEDAI-2K response rate in the belimumab group relative to the placebo group at a 5% significance level (based on the pooled data from efficacy studies BEL112341 and BEL113750) (15,21). These calculations assumed a placebo response rate of 43.95% at week 52.

Study end points and assessments. The primary efficacy end point was the SRI–SLEDAI-2K response rate (defined in the Supplementary Material) at week 52 of the double-blind phase. Unlike in the phase II and phase III studies, the SRI–SLEDAI-2K was selected because of the simplification it offers in proteinuria assessment as compared with the SELENA–SLEDAI proteinuria component; both are clinically meaningful (22). The primary efficacy end point for the open-label extension phase was SRI–SLEDAI-2K response rate at open-label extension week 24. If the open-label extension week 24 data were missing, data from the open-label extension week 28/exit visit were used. This time point is referred to as “open-label extension week 24” throughout the text. Data related to the primary efficacy end point, e.g., the response rate over time, percentage of patients with a durable SRI–SLEDAI-2K response from week 44 through week 52, time to first SRI–SLEDAI-2K response that was maintained through week 52, and duration of longest SRI–SLEDAI-2K response among patients with ≥1 SRI–SLEDAI-2K responses were summarized.

The key secondary end points were SRI–SELENA–SLEDAI at week 52 (open-label extension week 24), time to first severe SLE flare (measured by the SELENA–SLEDAI flare index [SFI]), and proportion of patients whose average prednisone dose had been reduced by ≥25% from baseline to ≤7.5 mg/day during week 40 through week 52 (open-label extension week 28/exit visit), in patients receiving >7.5 mg/day at baseline. Key renal end points included time to first renal flare over 52 weeks and over 28 weeks in the open-label extension, SELENA–SLEDAI–SLEDAI-2K renal domain improvement at week 52, SELENA–SLEDAI–SLEDAI-2K renal domain worsening at week 52, percentage reduction in proteinuria by visit and at week 52 and open-label extension week 24 and week 28/exit visit among those with baseline proteinuria >0.5 gm/24 hours, and proteinuria shift at week 52 and open-label extension week 24 and week 28/exit visit among those with baseline proteinuria >0.5 gm/24 hours. Renal flare is defined in the Supplementary Material (http://onlinelibrary.wiley.com/doi/10.1002/art.41900/abstract).

Biomarkers measured included percentage changes in serum IgG level, anti-dsDNA antibody level (in those who were anti-dsDNA positive [≥30 IU/ml] at baseline), and complement (C3 and C4) levels from baseline. Safety was evaluated by monitoring adverse events (AEs), serious AEs (SAEs), AEs of special interest, vital signs, clinical laboratory test results, and immunogenicity up to 8 weeks posttreatment and throughout the open-label extension phase.

Data analyses. For the double-blind phase, safety analyses were performed on the safety population, defined as all patients who were randomized and treated with at least 1 dose of investigational product. Data on the safety population were summarized according to the treatment the patient was randomized to receive rather than by the treatment that was received, but both were the same for this study. Efficacy analyses were performed on the modified intent-to-treat (ITT) population, defined as the safety population minus those patients who had any assessment at any of 3 study sites that were excluded from the efficacy analyses before the database lock because of potential Good Clinical Practice noncompliance.

For analysis of the primary and 3 key secondary efficacy end points, a step-down sequential testing procedure was used as described in the Supplementary Material. The following subgroup analyses were performed for the primary analysis (SRI–SLEDAI-2K response at week 52): region (US/Canada versus rest of world), baseline SELENA–SLEDAI–SLEDAI-2K score (≤9 versus ≥10), baseline anti-dsDNA antibody level (≥30 IU/ml versus <30 IU/ml), baseline complement levels (≥1 test finding showing low C3/C4 [less than the lower limit of normal] versus C3/C4 other [the lower limit of normal or above]), and baseline complement and anti-dsDNA antibody levels (≥1 test finding showing low C3/C4 and anti-dsDNA ≥30 IU/ml versus C3/C4 other and anti-dsDNA ≥30 IU/ml). The odds of an SRI–SLEDAI-2K response with belimumab treatment versus placebo were estimated using logistic regression analysis.

For the open-label extension phase, all patients received belimumab, no formal statistical hypothesis t",,"This study investigated the efficacy and safety of belimumab in patients of Black African ancestry with systemic lupus erythematosus (SLE).  Patients were randomized to receive belimumab or placebo for 52 weeks, followed by an optional 6-month open-label extension phase. The primary efficacy endpoint was the SRI–SLEDAI-2K response rate at week 52.  Key secondary endpoints included SRI–SELENA–SLEDAI at week 52, time to first severe SLE flare, and proportion of patients with a reduction in prednisone dose. Renal and biomarker assessments were also conducted.  The study found that belimumab was effective in improving SLE disease activity and reducing renal flares in patients of Black African ancestry."
Kaustuv Nag,Robust Consensus: A New Measure for Multicriteria Robust Group Decision Making Problems Using Evolutionary Approach,"In fuzzy group decision making problems, we often use multi-objective evolutionary optimization. The optimizers search through the whole search space and provide a set of nondominated solutions. But, sometimes the decision makers express their prior preferences using fuzzy numbers. In this case, the optimizers search in the preferred soft region and provide solutions with higher consensus. If perturbation in the decision variable space is unavoidable, we also need to search for robust solutions. Again, this perturbation aﬀects the degree of consensus of the solutions. This leads to search for solutions those are robust to their degree of consensus. In this work, we address these issues by redeﬁning consensus and proposing a new measure called robust consensus. We also provide a reformulation mechanism for multiobjective optimization problems. Our experimental results show that the proposed method is capable of ﬁnding robust solutions having robust consensus in the speciﬁed soft region.","robustness, evolutionary algorithms, fuzzy group decision making, multiobjective optimization, Consensus",This paper proposes a new measure called robust consensus for multicriteria robust group decision making problems using evolutionary approach. The proposed method addresses the issues of prior preferences using fuzzy numbers and perturbation in the decision variable space. Experimental results show that the proposed method is capable of finding robust solutions having robust consensus in the specified soft region.
Kavita,Recent Developments in Plant Leaf Disease Identification and Classification,"In the modern era, deep learning techniques have emerged as powerful tools in image recognition. Convolutional Neural Networks, one of the deep learning tools, have attained an impressive outcome in this area. The effectiveness of Convolutional Neural Networks in image recognition motivates the researchers to extend its applications in the field of agriculture for recognition of plant species, yield management, weed detection, soil, and water management, fruit counting, diseases, and pest detection, evaluating the nutrient status of plants, and much more.","leaf, deep learning models, disease, survey, deep learning, machine learning models, plant leaf disease identification, agriculture, convolutional neural networks","This manuscript presents a survey of the existing literature in applying deep Convolutional Neural Networks to predict plant diseases from leaf images. It presents an exemplary comparison of the pre-processing techniques, Convolutional Neural Network models, frameworks, and optimization techniques applied to detect and classify plant diseases using leaf images as a data set."
Ke Rong,h-value touch points between IoT mobile Apps and their users,"Business models help firms to set a right path to create, grow and retain their business value. While previous research shows that business model affects the performance of entrepreneurial firms, there is still limited understanding about how likely different business model selections of Internet of Things (IoT) startup firms retain their value and whether the venture capital investment intensity does play any role in the business model’s value retention process.","Instrumental variable regression, Business model, Value retention, Mobile application, venture capital, mobile Apps, China, Internet of things, IoT","This study investigates the impact of e-business models on value retention for start-ups in the Internet of Things (IoT) and Mobile Applications (Apps) business. The study finds that e-efficiency-centred and complementarities-centred e-business models increase value retention, while lock-in centred e-business model reduces value retention. The study also finds that venture capitalist’s involvement moderates the relationship between e-business models and value retention."
"Keane, A. J.",Local Surrogate Modeling for Parallel Evolutionary Optimization of Computationally Expensive Problems,This paper presents a local surrogate modeling algorithm for parallel evolutionary optimization of computationally expensive problems. The algorithm uses radial basis function networks to construct local surrogate models in the spirit of transductive inference. The proposed algorithm can be efficiently parallelized on grid computing architectures and does not compromise on the intrinsic parallelism offered by evolutionary algorithms.,"Radial basis function networks, evolutionary optimization, Transductive inference, Local surrogate modeling, surrogate modeling, Parallel evolutionary optimization, computationally expensive problems",The paper presents a parallel evolutionary optimization algorithm that uses surrogate models to solve computationally expensive design problems with general constraints on a limited computational budget. The algorithm combines an evolutionary algorithm with a feasible sequential quadratic programming solver and uses a trust-region approach to leverage exact and surrogate models during local search.
Kedar Khare,"Magnetic Resonance Materials in Physics, Biology and Medicine",Objective  To implement an advanced spatial penalty-based reconstruction to constrain the intravoxel incoherent motion (IVIM)–diffusion kurtosis imaging (DKI) model and investigate whether it provides a suitable alternative at 1.5 T to the traditional IVIM–DKI model at 3 T for clinical characterization of prostate cancer (PCa) and benign prostatic hyperplasia (BPH).,"TV penalty function, Prostate cancer, Benign prostatic hyperplasia, Total variation penalty function, MRI, Diffusion kurtosis imaging, Intravoxel incoherent motion, IVIM–DKI model","This study compares the use of IVIM–DKI at 1.5 T and 3 T MRI for differentiating between prostate cancer and benign prostatic hyperplasia. The results show that IVIM–DKI modeled with a novel model at 1.5 T produced parameter maps with lower coefficient of variation than the traditional model at 3 T. The novel model estimated higher D with lower D*, f, and k values at both field strengths compared to the traditional model. The study concludes that the proposed novel model can be utilized for improved detection of prostate lesions."
"Kegelmeyer, W. P.",A Multi-Task Approach to Open Domain Suggestion Mining,"Consumer reviews online may contain suggestions useful for improving the target products and services. Mining suggestions is challenging because the field lacks large labelled and balanced datasets. Furthermore, most prior studies have only focused on mining suggestions in a single domain. In this work, we introduce a novel up-sampling technique to address the problem of class imbalance, and propose a multi-task deep learning approach for mining suggestions from multiple domains.","Deep Learning, Suggestion Mining, Artificial Intelligence, Class Imbalance, Multi-Task Learning","This paper presents a multi-task approach to open domain suggestion mining, addressing the class imbalance problem using a novel up-sampling technique and a multi-task deep learning framework. Experimental results show that the proposed approach outperforms state-of-the-art models in terms of F-1 measure and AUC."
Kessler,Fifty years of peephole optimization,"Peephole optimization is a technique used in compilers to improve the performance of object programs by replacing sequences of instructions with equivalent single instructions. This article reviews the history and development of peephole optimization, including its application to various programming languages and target machines.","compilers, object programs, peephole optimization, Code generators, instruction sequences, replacement rules","Peephole optimization has been widely used in compilers to improve the performance of object programs. The technique involves replacing sequences of instructions with equivalent single instructions, and has been applied to various programming languages and target machines. The effectiveness of peephole optimization depends on several factors, including the nature of the source language, the parsing and code generation techniques used in the compiler, and the specifications of the target machine."
Ketema Adere,Directional Antenna MAC Protocols for Wireless Sensor Networks,"This paper proposes a directional antenna MAC protocol to overcome the MAC-deadlock, hidden and exposed terminal problem in wireless sensor networks. The proposed protocol uses directional antennas to receive/sending packets only from/to one side at the same time, reducing energy dissipation and increasing throughput.","Directional-Antenna, Energy efficiency, Medium Access Control protocol, MAC-deadlock, hidden terminal problem, directional antenna, exposed terminal problem, wireless sensor networks","This paper explores various aspects of medium access control (MAC) protocols in wireless sensor networks. The MAC protocols in wireless sensor network must achieve two main goals at minimum: the creation of sensor network infrastructure and the establishing communication links for data transfer between them, and fairly and efficiently share communication resources between each sensor nodes."
Keval Krishan Talwar,"Cardioprotection from ischemia and reperfusion injury by Withania somnifera: A hemodynamic, biochemical and histopathological assessment","The efficacy of Withania somnifera (Ws) to limit myocardial injury after ischemia and reperfusion was explored and compared to that of Vit E, a reference standard known to reduce mortality and infarct size due to myocardial infarction. Wistar rats (150–200 g) were divided into six groups and received orally saline (sham, control group), Ws-50/kg (Ws control and treated group) and Vit E-100 mg/kg (Vit E control and treated group) respectively for 1 month. On the 31st day, rats of the control, Vit E and Ws treated groups were anesthetized and subjected to 45 min occlusion of the LAD coronary artery followed by 60 min reperfusion. Hemodynamic parameters: systolic, diastolic and mean arterial pressure (SAP, DAP, MAP), heart rate (HR), left ventricular end diastolic pressure (LVEDP), left ventricular peak (+)LVdP/dt and (–)LVdP/dt were monitored. Hearts were removed and processed for histopathological and biochemical studies: Myocardial enzyme viz, creatin phosphokinase (CPK), and antioxidant parameters: malondialdehyde (MDA), glutathione (GSH), superoxide dismutase (SOD), catalase (CAT), glu-tathione peroxidase (GSHPx) were estimated. Postischemic reperfusion produced significant cardiac necrosis, depression of left ventricular functions (MAP, LVEDP, (+) and (–)LVdP/dt) and a significant fall in GSH (p < 0.01), SOD, CAT (p < 0.05), LDH and CPK (p < 0.01) as well as an increase in MDA level (p < 0.05) in the control group rats as compared to sham group. The changes in levels of protein and GPx was however, not significant. Ws and Vit E favorably modulated most of the hemo-dynamic, biochemical and histopathological parameters though no significant restoration in GSH, MAP (with Vit E) were ob-served. Ws on chronic administration markedly augmented antioxidants (GSH, GSHPx, SOD, CAT) while Vit E did not stimulate the synthesis of endogenous antioxidants compared to sham. Results indicate that Ws significantly reduced myocardial injury and emphasize the beneficial action of Ws as a cardioprotective agent.","Withania somnifera, adaptogens, Adaptogenic, myocardial infarction, Ischemia-reperfusion injury, Myocardial damage, ischemia, Vitamin E, antioxidants, reperfusion","This study investigated the cardioprotective effects of Withania somnifera (Ws) compared to Vitamin E in a rat model of ischemia and reperfusion induced myocardial injury. Ws significantly reduced myocardial injury, improved hemodynamic parameters, and enhanced antioxidant defense mechanisms. These findings suggest that Ws has potential as a cardioprotective agent."
